ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2438,f07f2886-009a-4036-baf5-e96a07468962,no,no,no,parking_obstructed,15038,20_30_min,54,54,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4503423,37.72189386,2 paint_on_telephone_pole
2439,df331e00-c897-4bd9-ba69-fca66b02eb8a,no,no,no,parking_obstructed,14882,10_min,"8, 8-bx, 43, 91-owl",8,8,43,91,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4500717,37.72197751,3 paint_on_metal_pole
2440,506520db-e1b8-4114-b913-b85bb704e6b3,no,no,no,clear,,10_min,"8, 8-bx, 43",8,8,43,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4499289,37.72212822,3 paint_on_metal_pole
2441,f8581edf-32c6-47db-b117-ea503c2c2c14,no,no,no,clear,15790,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4499967,37.72308264,3 paint_on_metal_pole
2442,d6f5d46e-e674-48bb-a535-6c1ad4563487,yes,yes,yes_working,clear,15791,10_min,"29, 49",29,49,,,,,,,,Best,4,yes,no,"metal_sign,shelter_marking",yes,combination,South,-122.4493053,37.72285873,0 metal_sign
2443,7f72bbee-997f-46f2-bece-c1fcacf4303e,no,no,no,clear,15781,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4473774,37.7228618,3 paint_on_metal_pole
2444,e72ce192-65fe-416d-ba49-951d843d56b9,no,no,no,clear,,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4469819,37.72308808,3 paint_on_metal_pole
2445,8e29e684-4055-4954-9f30-4055472bd364,no,no,no,clear,15804,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4450921,37.72308352,3 paint_on_metal_pole
2446,35975741-0fea-4511-8413-f1b1629536b6,yes,yes,yes_working,clear,15805,10_min,"29, 49",29,49,,,,,,,,,4,yes,no,"metal_sign,shelter_marking",yes,combination,South,-122.4444838,37.72286867,0 metal_sign
2447,70080645-35f1-4905-8980-66c4cbd6517f,no,no,no,clear,15800,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4413317,37.72323018,3 paint_on_metal_pole
