stop_code,stop_name,route_short_name,route_long_name,route_type,route_color,route_text_color,direction_id,eol_stop_names_all,eol_stop_names_day,eol_stop_names_owl,start_time,end_time,day_headway,owl_headway,day_headway_min,owl_headway_min,mon,tue,wed,thu,fri,sat,sun
13072,Broderick St & Bay St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@175,Sports Basement Parking Lot@@@92,,05:53:23,24:28:24,15.25925925925926,,11.82857142857143,,1,1,1,1,1,1,1
13074,Broderick St & Beach St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@175,Sports Basement Parking Lot@@@90,,05:53:55,24:28:57,15.307692307692308,,11.82857142857143,,1,1,1,1,1,1,1
13075,Broderick St & Francisco St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@175,Sports Basement Parking Lot@@@92,,05:53:07,24:28:08,15.296296296296296,,11.8,,1,1,1,1,1,1,1
13076,Broderick St & Jefferson St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@175,Sports Basement Parking Lot@@@90,,05:54:11,24:29:13,15.307692307692308,,11.82857142857143,,1,1,1,1,1,1,1
13077,Broderick St & North Point St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@175,Sports Basement Parking Lot@@@90,,05:53:39,24:28:41,15.307692307692308,,11.82857142857143,,1,1,1,1,1,1,1
13082,Broadway & Columbus Ave,12,FOLSOM-PACIFIC,3,005B95,FFFFFF,0,Main St & Howard St@@@90###Valencia St & Cesar Chavez St@@@147,Main St & Howard St@@@61###Valencia St & Cesar Chavez St@@@63,,06:09:20,22:08:52,10.0,,10.0,,1,1,1,1,1,1,1
13084,Broadway & Montgomery St,12,FOLSOM-PACIFIC,3,005B95,FFFFFF,0,Main St & Howard St@@@90###Valencia St & Cesar Chavez St@@@147,Main St & Howard St@@@61###Valencia St & Cesar Chavez St@@@63,,06:10:53,22:10:11,10.0,,10.0,,1,1,1,1,1,1,1
13085,Broadway & Steiner St,22,FILLMORE,3,005B95,FFFFFF,1,Fillmore St & Bay St@@@448,Fillmore St & Bay St@@@182,Fillmore St & Bay St@@@21,05:17:40,29:04:40,7.527272727272727,30.0,6.043478260869565,30.0,1,1,1,1,1,1,1
13086,Broadway & Steiner St,22,FILLMORE,3,005B95,FFFFFF,0,16th St & Bryant St@@@24###Mission Bay North & 3rd St@@@424,Mission Bay North & 3rd St@@@178,Mission Bay North & 3rd St@@@21,05:42:06,29:23:19,7.679245283018868,29.166666666666668,6.0,29.166666666666668,1,1,1,1,1,1,1
13087,Broadway & Stockton St,12,FOLSOM-PACIFIC,3,005B95,FFFFFF,0,Main St & Howard St@@@90###Valencia St & Cesar Chavez St@@@147,Main St & Howard St@@@63###Valencia St & Cesar Chavez St@@@63,,06:08:05,22:07:47,10.0,,10.0,,1,1,1,1,1,1,1
13089,Beale St & Mission St,38,GEARY,3,005B95,FFFFFF,1,Transit Center Bay D@@@359,Transit Center Bay D@@@135,Transit Center Bay D@@@24,06:17:20,29:50:37,10.1,30.0,8.01923076923077,30.0,1,1,1,1,1,1,1
13089,Beale St & Mission St,38R,GEARY RAPID,3,BF2B45,FFFFFF,1,Transit Center Bay C@@@325,Transit Center Bay C@@@153,,06:40:20,21:41:37,10.097560975609756,,6.044117647058823,,1,1,1,1,1,1,1
13089,Beale St & Mission St,5,FULTON,3,005B95,FFFFFF,1,Transit Center Bay B@@@299,Transit Center Bay B@@@117,,04:49:11,24:59:27,11.911764705882353,,10.125,,1,1,1,1,1,1,1
13089,Beale St & Mission St,5R,FULTON RAPID,3,BF2B45,FFFFFF,1,Transit Center Bay B@@@60,Transit Center Bay B@@@36,,07:47:03,19:32:18,11.885714285714286,,11.885714285714286,,1,1,1,1,1,0,0
13089,Beale St & Mission St,7,HAIGHT-NORIEGA,3,005B95,FFFFFF,1,Transit Center Bay E@@@227,Transit Center Bay E@@@105,,05:42:32,22:43:01,12.264705882352942,,12.147058823529411,,1,1,1,1,1,1,1
13092,Beach St & Mason St,F,MARKET & WHARVES,0,B49A36,000000,0,17th St & Castro St@@@171###17th St & Noe St@@@42,17th St & Castro St@@@96###17th St & Noe St@@@6,,07:01:22,23:03:17,12.363636363636363,,12.363636363636363,,1,1,1,1,1,1,1
13092,Beach St & Mason St,LOWL,OWL TARAVAL,3,666666,FFFFFF,0,The Embarcadero & Ferry Building@@@12###Wawona/46th Ave /Sf Zoo@@@69,,The Embarcadero & Ferry Building@@@12###Wawona/46th Ave /Sf Zoo@@@33,22:07:03,30:47:06,,20.0,,20.0,1,1,1,1,1,1,1
13093,Beach St & Polk St,19,POLK,3,005B95,FFFFFF,0,Donahue St & Innes Ave@@@169,Donahue St & Innes Ave@@@73,,05:05:00,22:00:00,20.0,,15.0,,1,1,1,1,1,1,1
13095,Beach St & Stockton St,F,MARKET & WHARVES,0,B49A36,000000,0,17th St & Castro St@@@171###17th St & Noe St@@@42,17th St & Castro St@@@96###17th St & Noe St@@@6,,07:03:00,23:05:00,12.393939393939394,,12.393939393939394,,1,1,1,1,1,1,1
13095,Beach St & Stockton St,LOWL,OWL TARAVAL,3,666666,FFFFFF,0,The Embarcadero & Ferry Building@@@12###Wawona/46th Ave /Sf Zoo@@@69,,The Embarcadero & Ferry Building@@@12###Wawona/46th Ave /Sf Zoo@@@33,22:08:10,30:48:18,,20.0,,20.0,1,1,1,1,1,1,1
13096,Bemis St & Moffitt St,35,EUREKA,3,005B95,FFFFFF,0,Bosworth St & Diamond St@@@87,Bosworth St & Diamond St@@@42,,07:16:15,21:14:49,30.076923076923077,,30.076923076923077,,1,1,1,1,1,1,1
13103,3rd St & 20th St,15,BAYVIEW HUNTERS POINT EXPRESS,3,005B95,FFFFFF,1,Sutter St & Sansome St@@@210,Sutter St & Sansome St@@@103,,08:21:00,22:19:00,12.606060606060606,,12.058823529411764,,1,1,1,1,1,1,1
