13040,Balboa St & 12th Ave,31,BALBOA,Ocean Beach,18758,04:38:38,22:23:38,1,1,1,1,1,0,0
13040,Balboa St & 12th Ave,31,BALBOA,Ocean Beach,18758,04:38:38,22:24:29,0,0,0,0,0,1,0
13040,Balboa St & 12th Ave,31,BALBOA,Ocean Beach,18758,04:38:38,22:24:29,0,0,0,0,0,0,1
13041,Balboa St & 12th Ave,31,BALBOA,Masonic + Turk,18758,05:11:01,22:45:15,1,1,1,1,1,0,0
13041,Balboa St & 12th Ave,31,BALBOA,Masonic + Turk,18758,05:10:15,22:46:01,0,0,0,0,0,1,0
13041,Balboa St & 12th Ave,31,BALBOA,Masonic + Turk,18758,05:10:15,22:46:01,0,0,0,0,0,0,1
13043,Balboa St & 17th Ave,31,BALBOA,Ocean Beach,18758,04:40:04,22:25:04,1,1,1,1,1,0,0
13043,Balboa St & 17th Ave,31,BALBOA,Ocean Beach,18758,04:40:04,22:25:49,0,0,0,0,0,1,0
13043,Balboa St & 17th Ave,31,BALBOA,Ocean Beach,18758,04:40:04,22:25:49,0,0,0,0,0,0,1
13044,Balboa St & 17th Ave,31,BALBOA,Masonic + Turk,18758,05:09:36,22:43:56,1,1,1,1,1,0,0
13044,Balboa St & 17th Ave,31,BALBOA,Masonic + Turk,18758,05:08:56,22:44:36,0,0,0,0,0,1,0
13044,Balboa St & 17th Ave,31,BALBOA,Masonic + Turk,18758,05:08:56,22:44:36,0,0,0,0,0,0,1
13045,Balboa St & 19th Ave,31,BALBOA,Ocean Beach,18758,04:40:38,22:25:38,1,1,1,1,1,0,0
13045,Balboa St & 19th Ave,31,BALBOA,Ocean Beach,18758,04:40:38,22:26:20,0,0,0,0,0,1,0
13045,Balboa St & 19th Ave,31,BALBOA,Ocean Beach,18758,04:40:38,22:26:20,0,0,0,0,0,0,1
13046,Balboa St & 19th Ave,31,BALBOA,Masonic + Turk,18758,05:09:03,22:43:25,1,1,1,1,1,0,0
13046,Balboa St & 19th Ave,31,BALBOA,Masonic + Turk,18758,05:08:25,22:44:03,0,0,0,0,0,1,0
13046,Balboa St & 19th Ave,31,BALBOA,Masonic + Turk,18758,05:08:25,22:44:03,0,0,0,0,0,0,1
13047,Balboa St & 21st Ave,31,BALBOA,Ocean Beach,18758,04:41:12,22:26:12,1,1,1,1,1,0,0
13047,Balboa St & 21st Ave,31,BALBOA,Ocean Beach,18758,04:41:12,22:26:51,0,0,0,0,0,1,0
13047,Balboa St & 21st Ave,31,BALBOA,Ocean Beach,18758,04:41:12,22:26:51,0,0,0,0,0,0,1
13048,Balboa St & 21st Ave,31,BALBOA,Masonic + Turk,18758,05:08:30,22:42:54,1,1,1,1,1,0,0
13048,Balboa St & 21st Ave,31,BALBOA,Masonic + Turk,18758,05:07:54,22:43:30,0,0,0,0,0,1,0
13048,Balboa St & 21st Ave,31,BALBOA,Masonic + Turk,18758,05:07:54,22:43:30,0,0,0,0,0,0,1
